افریقہ	África
زمرہ:1940ء بلحاظ ملک	Categoria:1940 por país
زمرہ:1947ء بلحاظ ملک	Categoria:1947 por país
زمرہ:1949ء بلحاظ ملک	Categoria:1949 por país
سانچہ:بین الویکی ربط	Predefinição:Link-interwiki
لیلانی لینی	Leilani Leeane
زمرہ:نظام شمسی	Categoria:Sistema solar
زمرہ:نیپال میں صدیاں	Categoria:Séculos no Nepal
زمرہ:روس میں صدیاں	Categoria:Séculos na Rússia
زمرہ:منگولیا میں صدیاں	Categoria:Séculos na Mongólia
زمرہ:سعودی عرب میں صدیاں	Categoria:Séculos na Arábia Saudita
زمرہ:یمن میں صدیاں	Categoria:Séculos no Iêmen
زمرہ:ایران میں صدیاں	Categoria:Séculos no Irã
زمرہ:چین میں صدیاں	Categoria:Séculos na China
زمرہ:قطر میں صدیاں	Categoria:Séculos no Qatar
زمرہ:پاکستان میں صدیاں	Categoria:Séculos no Paquistão
زمرہ:یورپ میں اٹھارویں صدی	Categoria:Século XVIII na Europa
زمرہ:نیدرلینڈز میں صدیاں	Categoria:Séculos nos Países Baixos
زمرہ:لکسمبرگ میں صدیاں	Categoria:Séculos no Luxemburgo
زمرہ:بلغاریہ میں صدیاں	Categoria:Séculos na Bulgária
زمرہ:سویڈن میں صدیاں	Categoria:Séculos na Suécia
زمرہ:ہسپانیہ میں صدیاں	Categoria:Séculos na Espanha
زمرہ:آئس لینڈ میں صدیاں	Categoria:Séculos na Islândia
زمرہ:استونیا میں صدیاں	Categoria:Séculos na Estônia
زمرہ:جمہوریہ گنی میں صدیاں	Categoria:Séculos na Guiné
زمرہ:نائجیریا میں صدیاں	Categoria:Séculos na Nigéria
زمرہ:جنوبی افریقہ میں صدیاں	Categoria:Séculos na África do Sul
زمرہ:لیبیا میں صدیاں	Categoria:Séculos na Líbia
زمرہ:انگولہ میں صدیاں	Categoria:Séculos em Angola
زمرہ:آئیوری کوسٹ میں صدیاں	Categoria:Séculos na Costa do Marfim
زمرہ:میکسیکو میں صدیاں	Categoria:Séculos no México
زمرہ:سرینام میں صدیاں	Categoria:Séculos no Suriname
زمرہ:1901ء بلحاظ ملک	Categoria:1901 por país
زمرہ:1927ء بلحاظ ملک	Categoria:1927 por país
زمرہ:ساتویں صدی بلحاظ ملک	Categoria:Século VII por país
زمرہ:آٹھویں صدی بلحاظ ملک	Categoria:Século VIII por país
زمرہ:گیارہویں صدی بلحاظ ملک	Categoria:Século XI por país
زمرہ:الجزائرکی سیاسی جماعتیں	Categoria:Partidos políticos da Argélia
زمرہ:ارجنٹائن میں صدیاں	Categoria:Séculos na Argentina
زمرہ:انگریز مصنفین	Categoria:Escritores da Inglaterra
سانچہ:Country data Brazil	Predefinição:Country data Brasil
زمرہ:معاشریات مذہب	Categoria:Sociologia da religião
زمرہ:اٹھارویں صدی بلحاظ ملک	Categoria:Século XVIII por país
زمرہ:اکیسویں صدی میں بین الاقوامی تعلقات	Categoria:Século XXI nas relações internacionais
زمرہ:2010ء بلحاظ ملک	Categoria:2010 por país
زمرہ:2012ء بلحاظ ملک	Categoria:2012 por país
زمرہ:2015ء بلحاظ ملک	Categoria:2015 por país
زمرہ:2017ء بلحاظ ملک	Categoria:2017 por país
زمرہ:2018ء بلحاظ ملک	Categoria:2018 por país
زمرہ:2019ء بلحاظ ملک	Categoria:2019 por país
زمرہ:851ء کی پیدائشیں	Categoria:Nascidos em 851
زمرہ:کروشیا کی جامعات	Categoria:Universidades da Croácia
زمرہ:سرب معاشرہ	Categoria:Sociedade da Sérvia
زمرہ:تنزانیہ کے آتش فشاں	Categoria:Vulcões da Tanzânia
زمرہ:فرانس کے آتش فشاں	Categoria:Vulcões da França
سانچہ:خانہ معلومات سابقہ ذیلی تقسیم	Predefinição:Info/Subdivisão extinta
زمرہ:2001ء بلحاظ ملک	Categoria:2001 por país
زمرہ:الجزائری معاشرہ	Categoria:Sociedade da Argélia
زمرہ:2011ء بلحاظ ملک	Categoria:2011 por país
زمرہ:2013ء بلحاظ ملک	Categoria:2013 por país
زمرہ:تنظیمیں بلحاظ ملک	Categoria:Organizações por país
زمرہ:کمپنیاں بلحاظ سال تاسیس	Categoria:Empresas por ano de fundação
زمرہ:1394ء	Categoria:1394
زمرہ:1388ء	Categoria:1388
زمرہ:بھارت میں اکیسویں صدی	Categoria:Século XXI na Índia
زمرہ:پاکستان میں اکیسویں صدی	Categoria:Século XXI no Paquistão
زمرہ:1453ء	Categoria:1453
زمرہ:کاناگاوا پریفیکچر	Categoria:Kanagawa
زمرہ:ناگانو پریفیکچر	Categoria:Nagano
زمرہ:نارا پریفیکچر	Categoria:Província de Nara
زمرہ:نیگاتا پریفیکچر	Categoria:Província de Niigata
زمرہ:توچیگی پریفیکچر	Categoria:Tochigi
زمرہ:میاگی پریفیکچر	Categoria:Província de Miyagi
زمرہ:گونما پریفیکچر	Categoria:Província de Gunma
زمرہ:ٹوکیو	Categoria:Tóquio
زمرہ:شیگا پریفیکچر	Categoria:Prefeitura de Shiga
زمرہ:شیمانے پریفیکچر	Categoria:Shimane
زمرہ:اوموری پریفیکچر	Categoria:Província de Aomori
زمرہ:اوکایاما پریفیکچر	Categoria:Província de Okayama
زمرہ:واکایاما پریفیکچر	Categoria:Província de Wakayama
زمرہ:اشیکاوا پریفیکچر	Categoria:Província de Ishikawa
زمرہ:چیبا پریفیکچر	Categoria:Província de Chiba
زمرہ:ہوکائیدو	Categoria:Província de Hokkaido
زمرہ:فوکوشیما پریفیکچر	Categoria:Província de Fukushima
زمرہ:ہیروشیما پریفیکچر	Categoria:Província de Hiroshima
زمرہ:گوانگڈونگ	Categoria:Guangdong
زمرہ:چین کے صوبائی دارالحکومت	Categoria:Capitais das províncias da China
زمرہ:شنسی	Categoria:Shanxi
زمرہ:سیچوان	Categoria:Sichuan
زمرہ:گیفو پریفیکچر	Categoria:Província de Gifu
سانچہ:فیفا کھلاڑی	Predefinição:FIFA Player
زمرہ:ایباراکی پریفیکچر	Categoria:Província de Ibaraki
سانچہ:Country data Northern Ireland	Predefinição:Country data Irlanda do Norte
سانچہ:اصل تحقیق	Predefinição:Pesquisa inédita
زمرہ:ایواتے پریفیکچر	Categoria:Província de Iwate
زمرہ:ہیوگو پریفیکچر	Categoria:Província de Hyogo
زمرہ:گوئیژو	Categoria:Guizhou
زمرہ:لیاؤننگ	Categoria:Liaoning
زمرہ:شانسی	Categoria:Shaanxi
زمرہ:انہوئی	Categoria:Anhui
زمرہ:جیانگشی	Categoria:Jiangxi
زمرہ:جیانگسو	Categoria:Jiangsu
زمرہ:جیلن	Categoria:Jilin
زمرہ:فوجیان	Categoria:Fujian
زمرہ:ہائنان	Categoria:Hainan
زمرہ:ہیبئی	Categoria:Hebei
زمرہ:ہیلونگجیانگ	Categoria:Heilongjiang
زمرہ:ہوبئی	Categoria:Hubei
زمرہ:کیوٹو	Categoria:Quioto
زمرہ:ناگویا	Categoria:Nagoia
زمرہ:فوکوکا	Categoria:Fukuoka
زمرہ:معیشتیں	Categoria:Economias
زمرہ:1ء کی پیدائشیں	Categoria:Nascidos em 1
زمرہ:980ء کی پیدائشیں	Categoria:Nascidos em 980
زمرہ:2ء	Categoria:2
زمرہ:2ء کی پیدائشیں	Categoria:Nascidos em 2
زمرہ:2ء کی وفیات	Categoria:Mortos em 2
زمرہ:1037ء کی وفیات	Categoria:Mortos em 1037
زمرہ:3ء	Categoria:3
زمرہ:3ء کی پیدائشیں	Categoria:Nascidos em 3
زمرہ:1ء کی وفیات	Categoria:Mortos em 1
زمرہ:1ء	Categoria:1
زمرہ:4ء کی پیدائشیں	Categoria:Nascidos em 4
زمرہ:5ء	Categoria:5
زمرہ:6ء کی پیدائشیں	Categoria:Nascidos em 6
زمرہ:7ء	Categoria:7
زمرہ:7ء کی وفیات	Categoria:Mortos em 7
زمرہ:9ء	Categoria:9
زمرہ:9ء کی وفیات	Categoria:Mortos em 9
زمرہ:10ء کی پیدائشیں	Categoria:Nascidos em 10
زمرہ:11ء	Categoria:11
زمرہ:12ء	Categoria:12
زمرہ:988ء کی وفیات	Categoria:Mortos em 988
زمرہ:365ء کی وفیات	Categoria:Mortos em 365
زمرہ:12ء کی وفیات	Categoria:Mortos em 12
زمرہ:13ء	Categoria:13
زمرہ:13ء کی وفیات	Categoria:Mortos em 13
زمرہ:14ء کی پیدائشیں	Categoria:Nascidos em 14
زمرہ:یوگنڈا کی ذیلی تقسیم	Categoria:Subdivisões de Uganda
زمرہ:ملاوی کی ذیلی تقسیم	Categoria:Subdivisões do Malawi
زمرہ:15ء	Categoria:15
زمرہ:16ء	Categoria:16
زمرہ:عالمی تنظیمیں	Categoria:Organizações internacionais
زمرہ:16ء کی وفیات	Categoria:Mortos em 16
زمرہ:17ء	Categoria:17
زمرہ:17ء کی وفیات	Categoria:Mortos em 17
زمرہ:طبیعی جغرافیہ	Categoria:Geografia física
زمرہ:18ء کی پیدائشیں	Categoria:Nascidos em 18
زمرہ:19ء	Categoria:19
زمرہ:19ء کی وفیات	Categoria:Mortos em 19
زمرہ:صومالیہ کی ذیلی تقسیم	Categoria:Subdivisões da Somália
زمرہ:21ء	Categoria:21
زمرہ:وزراء	Categoria:Ministros
سانچہ:خوم	Predefinição:AWB
زمرہ:21ء کی وفیات	Categoria:Mortos em 21
زمرہ:22ء کی پیدائشیں	Categoria:Nascidos em 22
سانچہ:مڈغاسکر کے صوبے	Predefinição:Madagáscar/Províncias
زمرہ:جمہوریہ گنی کی ذیلی تقسیم	Categoria:Subdivisões da Guiné
زمرہ:فہارست بلحاظ اقتصادی اشارے	Categoria:Listas por indicadores econômicos
زمرہ:23ء	Categoria:23
زمرہ:مڈغاسکر کے صوبے	Categoria:Províncias de Madagáscar
زمرہ:23ء کی وفیات	Categoria:Mortos em 23
زمرہ:24ء کی وفیات	Categoria:Mortos em 24
زمرہ:26ء	Categoria:26
زمرہ:صنعت	Categoria:Indústria
سانچہ:Dagger	Predefinição:Dagger
زمرہ:26ء کی وفیات	Categoria:Mortos em 26
زمرہ:صومالیہ کے علاقے	Categoria:Regiões da Somália
زمرہ:27ء کی پیدائشیں	Categoria:Nascidos em 27
زمرہ:28ء	Categoria:28
زمرہ:28ء کی وفیات	Categoria:Mortos em 28
زمرہ:30ء کی پیدائشیں	Categoria:Nascidos em 30
زمرہ:31ء	Categoria:31
زمرہ:گنی بساؤ کی ذیلی تقسیم	Categoria:Subdivisões da Guiné-Bissau
زمرہ:31ء کی وفیات	Categoria:Mortos em 31
زمرہ:32ء کی پیدائشیں	Categoria:Nascidos em 32
زمرہ:مؤجدین	Categoria:Inventores
زمرہ:33ء	Categoria:33
سانچہ:سیرالیون کے صوبے	Predefinição:Serra Leoa/Províncias
زمرہ:33ء کی وفیات	Categoria:Mortos em 33
زمرہ:34ء کی پیدائشیں	Categoria:Nascidos em 34
سانچہ:Country data Dahomey	Predefinição:Country data Dahomey
زمرہ:35ء	Categoria:35
زمرہ:35ء کی وفیات	Categoria:Mortos em 35
زمرہ:لائبیریا کی ذیلی تقسیم	Categoria:Subdivisões da Libéria
زمرہ:سیرالیون کی ذیلی تقسیم	Categoria:Subdivisões da Serra Leoa
زمرہ:37ء	Categoria:37
زمرہ:لیسوتھو کی ذیلی تقسیم	Categoria:Subdivisões do Lesoto
زمرہ:سوازی لینڈ کی ذیلی تقسیم	Categoria:Subdivisões da Suazilândia
زمرہ:جمہوریہ ڈومینیکن	Categoria:República Dominicana
زمرہ:37ء کی پیدائشیں	Categoria:Nascidos em 37
زمرہ:38ء	Categoria:38
زمرہ:38ء کی پیدائشیں	Categoria:Nascidos em 38
زمرہ:39ء	Categoria:39
زمرہ:39ء کی وفیات	Categoria:Mortos em 39
زمرہ:40ء کی پیدائشیں	Categoria:Nascidos em 40
زمرہ:41ء	Categoria:41
زمرہ:41ء کی وفیات	Categoria:Mortos em 41
زمرہ:مائیات	Categoria:Hidrologia
زمرہ:42ء کی پیدائشیں	Categoria:Nascidos em 42
زمرہ:43ء	Categoria:43
زمرہ:44ء	Categoria:44
زمرہ:آب	Categoria:Água
زمرہ:ناک	Categoria:Nariz
زمرہ:تاریخ زمینیات	Categoria:História da geologia
زمرہ:44ء کی وفیات	Categoria:Mortos em 44
زمرہ:45ء کی پیدائشیں	Categoria:Nascidos em 45
زمرہ:45ء کی وفیات	Categoria:Mortos em 45
زمرہ:سویٹزرلینڈ میں ریل نقل و حمل	Categoria:Transporte ferroviário na Suíça
زمرہ:46ء کی پیدائشیں	Categoria:Nascidos em 46
زمرہ:47ء	Categoria:47
زمرہ:47ء کی پیدائشیں	Categoria:Nascidos em 47
زمرہ:48ء	Categoria:48
زمرہ:48ء کی وفیات	Categoria:Mortos em 48
زمرہ:1456ء	Categoria:1456
زمرہ:1136ء	Categoria:1136
زمرہ:51ء	Categoria:51
زمرہ:51ء کی پیدائشیں	Categoria:Nascidos em 51
زمرہ:51ء کی وفیات	Categoria:Mortos em 51
زمرہ:53ء کی پیدائشیں	Categoria:Nascidos em 53
زمرہ:54ء	Categoria:54
زمرہ:55ء	Categoria:55
زمرہ:55ء کی وفیات	Categoria:Mortos em 55
زمرہ:56ء کی وفیات	Categoria:Mortos em 56
زمرہ:57ء کی پیدائشیں	Categoria:Nascidos em 57
زمرہ:58ء	Categoria:58
زمرہ:58ء کی وفیات	Categoria:Mortos em 58
زمرہ:60ء کی پیدائشیں	Categoria:Nascidos em 60
زمرہ:61ء کی پیدائشیں	Categoria:Nascidos em 61
زمرہ:61ء کی وفیات	Categoria:Mortos em 61
زمرہ:62ء کی پیدائشیں	Categoria:Nascidos em 62
زمرہ:62ء کی وفیات	Categoria:Mortos em 62
زمرہ:63ء	Categoria:63
زمرہ:63ء کی وفیات	Categoria:Mortos em 63
زمرہ:64ء کی پیدائشیں	Categoria:Nascidos em 64
زمرہ:65ء	Categoria:65
زمرہ:65ء کی وفیات	Categoria:Mortos em 65
زمرہ:67ء	Categoria:67
زمرہ:67ء کی وفیات	Categoria:Mortos em 67
زمرہ:68ء کی پیدائشیں	Categoria:Nascidos em 68
زمرہ:69ء	Categoria:69
زمرہ:69ء کی وفیات	Categoria:Mortos em 69
زمرہ:70ء کی پیدائشیں	Categoria:Nascidos em 70
زمرہ:71ء	Categoria:71
زمرہ:71ء کی وفیات	Categoria:Mortos em 71
زمرہ:72ء کی پیدائشیں	Categoria:Nascidos em 72
زمرہ:73ء	Categoria:73
زمرہ:75ء کی پیدائشیں	Categoria:Nascidos em 75
زمرہ:76ء	Categoria:76
زمرہ:76ء کی وفیات	Categoria:Mortos em 76
زمرہ:78ء	Categoria:78
زمرہ:78ء کی وفیات	Categoria:Mortos em 78
زمرہ:80ء کی پیدائشیں	Categoria:Nascidos em 80
زمرہ:80ء کی وفیات	Categoria:Mortos em 80
زمرہ:82ء	Categoria:82
زمرہ:82ء کی وفیات	Categoria:Mortos em 82
زمرہ:84ء	Categoria:84
زمرہ:84ء کی وفیات	Categoria:Mortos em 84
زمرہ:85ء کی پیدائشیں	Categoria:Nascidos em 85
زمرہ:86ء کی پیدائشیں	Categoria:Nascidos em 86
زمرہ:87ء	Categoria:87
زمرہ:88ء کی پیدائشیں	Categoria:Nascidos em 88
زمرہ:89ء	Categoria:89
زمرہ:89ء کی وفیات	Categoria:Mortos em 89
زمرہ:90ء کی پیدائشیں	Categoria:Nascidos em 90
زمرہ:592ء کی وفیات	Categoria:Mortos em 592
زمرہ:90ء کی وفیات	Categoria:Mortos em 90
زمرہ:91ء کی وفیات	Categoria:Mortos em 91
زمرہ:93ء	Categoria:93
زمرہ:تاریخ امریکین	Categoria:História da América
زمرہ:93ء کی وفیات	Categoria:Mortos em 93
زمرہ:94ء کی پیدائشیں	Categoria:Nascidos em 94
زمرہ:95ء	Categoria:95
زمرہ:96ء	Categoria:96
زمرہ:96ء کی وفیات	Categoria:Mortos em 96
زمرہ:97ء	Categoria:97
زمرہ:97ء کی وفیات	Categoria:Mortos em 97
زمرہ:98ء	Categoria:98
زمرہ:99ء	Categoria:99
زمرہ:حسی اعضاء	Categoria:Órgãos sensoriais
زمرہ:سر اور گردن	Categoria:Cabeça e pescoço
زمرہ:99ء کی وفیات	Categoria:Mortos em 99
زمرہ:برونڈی کی ذیلی تقسیم	Categoria:Subdivisões do Burundi
زمرہ:100ء کی پیدائشیں	Categoria:Nascidos em 100
زمرہ:101ء	Categoria:101
زمرہ:101ء کی وفیات	Categoria:Mortos em 101
زمرہ:103ء	Categoria:103
زمرہ:103ء کی وفیات	Categoria:Mortos em 103
زمرہ:104ء کی پیدائشیں	Categoria:Nascidos em 104
زمرہ:105ء کی پیدائشیں	Categoria:Nascidos em 105
زمرہ:106ء	Categoria:106
زمرہ:106ء کی وفیات	Categoria:Mortos em 106
زمرہ:108ء کی پیدائشیں	Categoria:Nascidos em 108
زمرہ:109ء	Categoria:109
زمرہ:110ء کی پیدائشیں	Categoria:Nascidos em 110
Conjugate transpose	Conjugado transposto
زمرہ:111ء	Categoria:111
زمرہ:111ء کی پیدائشیں	Categoria:Nascidos em 111
زمرہ:112ء	Categoria:112
زمرہ:112ء کی وفیات	Categoria:Mortos em 112
زمرہ:113ء کی وفیات	Categoria:Mortos em 113
زمرہ:115ء کی وفیات	Categoria:Mortos em 115
زمرہ:116ء کی پیدائشیں	Categoria:Nascidos em 116
زمرہ:117ء	Categoria:117
زمرہ:117ء کی وفیات	Categoria:Mortos em 117
زمرہ:118ء کی وفیات	Categoria:Mortos em 118
زمرہ:119ء کی پیدائشیں	Categoria:Nascidos em 119
زمرہ:120ء	Categoria:120
زمرہ:120ء کی وفیات	Categoria:Mortos em 120
زمرہ:121ء کی پیدائشیں	Categoria:Nascidos em 121
زمرہ:122ء	Categoria:122
زمرہ:122ء کی پیدائشیں	Categoria:Nascidos em 122
زمرہ:123ء	Categoria:123
زمرہ:124ء کی وفیات	Categoria:Mortos em 124
زمرہ:125ء کی وفیات	Categoria:Mortos em 125
زمرہ:126ء کی پیدائشیں	Categoria:Nascidos em 126
زمرہ:127ء	Categoria:127
زمرہ:127ء کی وفیات	Categoria:Mortos em 127
زمرہ:128ء کی پیدائشیں	Categoria:Nascidos em 128
زمرہ:128ء کی وفیات	Categoria:Mortos em 128
زمرہ:129ء کی وفیات	Categoria:Mortos em 129
زمرہ:130ء کی پیدائشیں	Categoria:Nascidos em 130
زمرہ:131ء	Categoria:131
زمرہ:132ء کی پیدائشیں	Categoria:Nascidos em 132
زمرہ:133ء	Categoria:133
زمرہ:133ء کی وفیات	Categoria:Mortos em 133
زمرہ:134ء کی پیدائشیں	Categoria:Nascidos em 134
زمرہ:134ء کی وفیات	Categoria:Mortos em 134
زمرہ:136ء	Categoria:136
زمرہ:136ء کی وفیات	Categoria:Mortos em 136
زمرہ:137ء کی پیدائشیں	Categoria:Nascidos em 137
زمرہ:138ء	Categoria:138
زمرہ:138ء کی وفیات	Categoria:Mortos em 138
زمرہ:140ء	Categoria:140
زمرہ:141ء	Categoria:141
زمرہ:141ء کی وفیات	Categoria:Mortos em 141
زمرہ:142ء کی پیدائشیں	Categoria:Nascidos em 142
زمرہ:قفقاز کی زبانیں	Categoria:Línguas caucasianas
زمرہ:143ء	Categoria:143
زمرہ:143ء کی وفیات	Categoria:Mortos em 143
زمرہ:144ء کی پیدائشیں	Categoria:Nascidos em 144
زمرہ:145ء	Categoria:145
زمرہ:145ء کی وفیات	Categoria:Mortos em 145
زمرہ:147ء	Categoria:147
زمرہ:147ء کی وفیات	Categoria:Mortos em 147
زمرہ:149ء	Categoria:149
زمرہ:150ء کی پیدائشیں	Categoria:Nascidos em 150
زمرہ:151ء	Categoria:151
زمرہ:151ء کی وفیات	Categoria:Mortos em 151
زمرہ:152ء کی پیدائشیں	Categoria:Nascidos em 152
زمرہ:153ء	Categoria:153
زمرہ:153ء کی وفیات	Categoria:Mortos em 153
سانچہ:Lang-ne	Predefinição:Lang-ne
زمرہ:154ء کی پیدائشیں	Categoria:Nascidos em 154
زمرہ:155ء	Categoria:155
زمرہ:155ء کی وفیات	Categoria:Mortos em 155
زمرہ:156ء کی وفیات	Categoria:Mortos em 156
زمرہ:157ء کی پیدائشیں	Categoria:Nascidos em 157
زمرہ:158ء	Categoria:158
زمرہ:جغرافیہ صومالیہ	Categoria:Geografia da Somália
زمرہ:159ء	Categoria:159
زمرہ:159ء کی وفیات	Categoria:Mortos em 159
زمرہ:160ء کی پیدائشیں	Categoria:Nascidos em 160
معاونت:میڈیاویکی نام فضا	Wikipédia:Domínio MediaWiki
زمرہ:1588ء کی پیدائشیں	Categoria:Nascidos em 1588
زمرہ:161ء	Categoria:161
زمرہ:1063ء کی وفیات	Categoria:Mortos em 1063
زمرہ:1679ء کی وفیات	Categoria:Mortos em 1679
زمرہ:161ء کی وفیات	Categoria:Mortos em 161
زمرہ:1768ء کی وفیات	Categoria:Mortos em 1768
زمرہ:162ء کی پیدائشیں	Categoria:Nascidos em 162
زمرہ:1682ء کی وفیات	Categoria:Mortos em 1682
زمرہ:162ء کی وفیات	Categoria:Mortos em 162
زمرہ:1604ء کی پیدائشیں	Categoria:Nascidos em 1604
زمرہ:163ء کی پیدائشیں	Categoria:Nascidos em 163
زمرہ:1055ء کی وفیات	Categoria:Mortos em 1055
زمرہ:164ء	Categoria:164
زمرہ:1062ء کی وفیات	Categoria:Mortos em 1062
زمرہ:1059ء کی وفیات	Categoria:Mortos em 1059
زمرہ:مڈغاسکر کی ذیلی تقسیم	Categoria:Subdivisões de Madagáscar
زمرہ:165ء کی پیدائشیں	Categoria:Nascidos em 165
زمرہ:166ء	Categoria:166
زمرہ:گلاب	Categoria:Rosas
زمرہ:166ء کی وفیات	Categoria:Mortos em 166
زمرہ:167ء کی پیدائشیں	Categoria:Nascidos em 167
زمرہ:1604ء	Categoria:1604
زمرہ:1000ء کی پیدائشیں	Categoria:Nascidos em 1000
زمرہ:168ء	Categoria:168
زمرہ:168ء کی وفیات	Categoria:Mortos em 168
زمرہ:درد	Categoria:Dor
زمرہ:169ء کی وفیات	Categoria:Mortos em 169
زمرہ:170ء کی پیدائشیں	Categoria:Nascidos em 170
سانچہ:Sfn	Predefinição:HarvRef
زمرہ:171ء	Categoria:171
زمرہ:172ء کی پیدائشیں	Categoria:Nascidos em 172
زمرہ:1000ء	Categoria:1000
زمرہ:173ء	Categoria:173
زمرہ:173ء کی وفیات	Categoria:Mortos em 173
زمرہ:174ء کی پیدائشیں	Categoria:Nascidos em 174
زمرہ:175ء	Categoria:175
زمرہ:175ء کی پیدائشیں	Categoria:Nascidos em 175
زمرہ:176ء	Categoria:176
زمرہ:177ء کی پیدائشیں	Categoria:Nascidos em 177
زمرہ:178ء کی پیدائشیں	Categoria:Nascidos em 178
زمرہ:178ء کی وفیات	Categoria:Mortos em 178
زمرہ:179ء کی پیدائشیں	Categoria:Nascidos em 179
زمرہ:180ء	Categoria:180
زمرہ:180ء کی وفیات	Categoria:Mortos em 180
زمرہ:181ء کی وفیات	Categoria:Mortos em 181
زمرہ:182ء کی پیدائشیں	Categoria:Nascidos em 182
زمرہ:183ء کی پیدائشیں	Categoria:Nascidos em 183
زمرہ:184ء	Categoria:184
زمرہ:184ء کی وفیات	Categoria:Mortos em 184
زمرہ:185ء کی پیدائشیں	Categoria:Nascidos em 185
زمرہ:186ء	Categoria:186
زمرہ:186ء کی وفیات	Categoria:Mortos em 186
زمرہ:187ء کی پیدائشیں	Categoria:Nascidos em 187
زمرہ:188ء	Categoria:188
زمرہ:189ء کی پیدائشیں	Categoria:Nascidos em 189
زمرہ:190ء	Categoria:190
زمرہ:190ء کی وفیات	Categoria:Mortos em 190
زمرہ:191ء کی پیدائشیں	Categoria:Nascidos em 191
زمرہ:192ء	Categoria:192
زمرہ:192ء کی وفیات	Categoria:Mortos em 192
زمرہ:گوشت خور	Categoria:Carnívoros
زمرہ:193ء کی پیدائشیں	Categoria:Nascidos em 193
زمرہ:194ء	Categoria:194
سانچہ:Infobox Greek Dimos	Predefinição:Info/Assentamento/Grécia
زمرہ:194ء کی پیدائشیں	Categoria:Nascidos em 194
زمرہ:195ء کی پیدائشیں	Categoria:Nascidos em 195
زمرہ:196ء	Categoria:196
زمرہ:196ء کی وفیات	Categoria:Mortos em 196
زمرہ:197ء کی پیدائشیں	Categoria:Nascidos em 197
زمرہ:197ء کی وفیات	Categoria:Mortos em 197
زمرہ:198ء کی پیدائشیں	Categoria:Nascidos em 198
لیکسی انیسورتھ	Lexi Ainsworth
زمرہ:199ء	Categoria:199
زمرہ:199ء کی وفیات	Categoria:Mortos em 199
زمرہ:200ء کی پیدائشیں	Categoria:Nascidos em 200
زمرہ:201ء	Categoria:201
زمرہ:201ء کی وفیات	Categoria:Mortos em 201
زمرہ:202ء کی پیدائشیں	Categoria:Nascidos em 202
زمرہ:203ء	Categoria:203
زمرہ:203ء کی پیدائشیں	Categoria:Nascidos em 203
سانچہ:گفتگو بند	Predefinição:Respondido
زمرہ:204ء	Categoria:204
زمرہ:204ء کی وفیات	Categoria:Mortos em 204
زمرہ:205ء کی پیدائشیں	Categoria:Nascidos em 205
زمرہ:205ء کی وفیات	Categoria:Mortos em 205
زمرہ:206ء کی پیدائشیں	Categoria:Nascidos em 206
زمرہ:207ء	Categoria:207
زمرہ:207ء کی وفیات	Categoria:Mortos em 207
زمرہ:208ء کی پیدائشیں	Categoria:Nascidos em 208
زمرہ:209ء	Categoria:209
زمرہ:209ء کی وفیات	Categoria:Mortos em 209
زمرہ:210ء کی پیدائشیں	Categoria:Nascidos em 210
زمرہ:211ء	Categoria:211
زمرہ:211ء کی وفیات	Categoria:Mortos em 211
زمرہ:213ء	Categoria:213
زمرہ:213ء کی وفیات	Categoria:Mortos em 213
زمرہ:214ء کی پیدائشیں	Categoria:Nascidos em 214
زمرہ:215ء	Categoria:215
زمرہ:215ء کی وفیات	Categoria:Mortos em 215
زمرہ:216ء	Categoria:216
زمرہ:216ء کی پیدائشیں	Categoria:Nascidos em 216
زمرہ:217ء	Categoria:217
زمرہ:217ء کی وفیات	Categoria:Mortos em 217
زمرہ:218ء	Categoria:218
زمرہ:218ء کی وفیات	Categoria:Mortos em 218
زمرہ:219ء کی پیدائشیں	Categoria:Nascidos em 219
زمرہ:219ء کی وفیات	Categoria:Mortos em 219
زمرہ:220ء	Categoria:220
زمرہ:220ء کی وفیات	Categoria:Mortos em 220
زمرہ:221ء کی پیدائشیں	Categoria:Nascidos em 221
زمرہ:222ء	Categoria:222
زمرہ:222ء کی وفیات	Categoria:Mortos em 222
زمرہ:223ء کی پیدائشیں	Categoria:Nascidos em 223
زمرہ:224ء	Categoria:224
زمرہ:225ء	Categoria:225
زمرہ:226ء	Categoria:226
زمرہ:226ء کی وفیات	Categoria:Mortos em 226
زمرہ:227ء کی پیدائشیں	Categoria:Nascidos em 227
زمرہ:228ء	Categoria:228
زمرہ:228ء کی وفیات	Categoria:Mortos em 228
زمرہ:229ء	Categoria:229
زمرہ:229ء کی وفیات	Categoria:Mortos em 229
زمرہ:230ء کی پیدائشیں	Categoria:Nascidos em 230
زمرہ:231ء	Categoria:231
زمرہ:231ء کی وفیات	Categoria:Mortos em 231
زمرہ:232ء کی پیدائشیں	Categoria:Nascidos em 232
زمرہ:233ء	Categoria:233
زمرہ:10ء	Categoria:10
زمرہ:233ء کی وفیات	Categoria:Mortos em 233
زمرہ:234ء کی پیدائشیں	Categoria:Nascidos em 234
زمرہ:100ء	Categoria:100
زمرہ:235ء	Categoria:235
زمرہ:235ء کی وفیات	Categoria:Mortos em 235
زمرہ:1001ء	Categoria:1001
زمرہ:236ء کی پیدائشیں	Categoria:Nascidos em 236
زمرہ:237ء	Categoria:237
زمرہ:237ء کی وفیات	Categoria:Mortos em 237
زمرہ:1002ء	Categoria:1002
